,folder_file,cell_ID,data_type,drug,replication_no,aplication_order,drug_in,drug_out,I_setting (nA/'steps'),R_series_Mohm,cell_type,voltage_threshold,max_firing,FI_slope,sag,AP_width,AP_height,AP_slope,mouseline,rheobased_threshold,tau_rc,mean_max_firing,SD_max_firing,mean_FI_slope,SD_FI_slope,mean_rheobased_threshold,mean_voltage_threshold_file,SD_voltage_threshold_file,mean_AP_height_file,mean_AP_slope_file,mean_AP_width
400,JJB230122/t11,5HT230122a,AP,MDL,1,2,29,57.0,steps,,,,,,,,,,5HT,,,,,,,,,,,,
396,JJB230122/t7,5HT230122a,AP,TCB2,1,1,31,60.0,steps,,,,,,,,,,5HT,,,,,,,,,,,,
407,JJB230122/t23,5HT230122b,AP,TCB2,1,1,26,55.0,steps,,,,,,,,,,5HT,,,,,,,,,,,,
401,JJB230122/t12,5HT230122a,FP,MDL,1,2,,,offset,,,"[-51.541874, -51.510937, -49.469063]",9.446996535695417,0.12499999999999946,"[Sag(val=0.043114163, steady_state=-98.70201, current_inj=-100.0), Sag(val=0.05329994, steady_state=-97.18261, current_inj=-80.0)]","[7.8, 6.6, 6.1]","[74.311874, 73.043434, 71.92969]","[23.222460746765137, 34.78258768717448, 47.953125]",5HT,295.9999999999998,"[Tau(val=27.8, steady_state=-60.409424, current_inj=280.0), Tau(val=27.8, steady_state=-62.39361, current_inj=260.0)]",12.163774207252274,2.364360625984665,0.1499999999999998,0.025000000000000334,306.07407407407385,-50.84062576293945,0.9699228405952454,73.09500122070312,35.31939114464654,6.833333333333333
402,JJB230122/t13,5HT230122a,FP,MDL,2,2,,,offset,,,"[-50.582813, -51.170624, -49.283436, -48.66469, -49.530937, -49.03594]",13.288624005171547,0.17500000000000013,"[Sag(val=0.07048253, steady_state=-99.205475, current_inj=-100.0), Sag(val=0.12674417, steady_state=-97.67268, current_inj=-80.0)]","[5.6, 5.6, 5.9, 5.9, 7.5, 6.2]","[73.35281, 72.5175, 71.37281, 70.25906, 71.34187, 70.90875]","[56.42524132361778, 55.782693716195915, 54.902161818284256, 54.0454336313101, 29.725780487060547, 50.64910888671875]",5HT,313.3333333333332,"[Tau(val=30.1, steady_state=-58.710857, current_inj=300.0), Tau(val=26.2, steady_state=-61.97975, current_inj=280.0)]",12.163774207252274,2.364360625984665,0.1499999999999998,0.025000000000000334,306.07407407407385,-49.71140670776367,0.8809341788291931,71.6254653930664,50.2550699771979,6.116666666666667
403,JJB230122/t14,5HT230122a,FP,MDL,3,2,,,offset,,,"[-51.820312, -50.428123, -50.056873, -49.654686]",13.755702080889854,0.14999999999999977,"[Sag(val=0.03619901, steady_state=-99.33608, current_inj=-100.0), Sag(val=0.06784923, steady_state=-98.01422, current_inj=-80.0)]","[8.0, 6.1, 6.0, 6.3]","[73.60031, 72.23906, 71.49656, 70.81593]","[22.303124630089965, 51.599328177315854, 54.99735318697416, 50.58280944824219]",5HT,308.8888888888885,"[Tau(val=34.7, steady_state=-55.330894, current_inj=320.0), Tau(val=27.0, steady_state=-59.4051, current_inj=300.0)]",12.163774207252274,2.364360625984665,0.1499999999999998,0.025000000000000334,306.07407407407385,-50.48999786376953,0.8153079748153687,72.0379638671875,44.870653860655544,6.6000000000000005
393,JJB230122/t4,5HT230122a,FP,PRE,1,0,,,,,,"[-38.795624, -41.05406, -39.97125, -40.21875, -40.373436, -40.095, -40.46625]",16.04447250274526,0.15000000000000013,"[Sag(val=0.13887788, steady_state=-76.47686, current_inj=-100.0), Sag(val=0.08727041, steady_state=-75.174034, current_inj=-80.0)]","[5.9, 8.1, 7.8, 8.3, 9.2, 9.5, 9.1]","[60.544685, 63.669373, 62.246246, 62.803123, 62.648438, 62.834064, 63.081566]","[43.246203831263955, 37.45257209329044, 38.90390396118164, 34.8906241522895, 31.32421875, 24.166947878324066, 35.045314364963104]",5HT,231.11111111111117,"[Tau(val=23.5, steady_state=-46.475033, current_inj=260.0), Tau(val=19.6, steady_state=-49.755993, current_inj=240.0)]",18.18434565108294,1.978596560390255,0.3000000000000001,0.11291589790636211,142.37654320987656,-40.13919448852539,0.6370118260383606,62.54678726196289,35.004255004473244,8.27142857142857
394,JJB230122/t5,5HT230122a,FP,PRE,2,0,,,,,,"[-42.94125, -40.095, -37.836563, -40.095, -37.929375, -39.630936, -39.445312, -39.38344, -38.82656, -37.898438, -38.45531, -37.00125, -39.507187, -39.105]",17.666303478797644,0.225,"[Sag(val=0.0701842, steady_state=-77.63141, current_inj=-100.0), Sag(val=0.16763695, steady_state=-74.618515, current_inj=-60.0)]","[10.0, 7.7, 7.8, 10.4, 8.7, 10.7, 11.6, 11.5, 10.9, 9.7, 9.3, 8.5, 13.5, 11.5]","[60.080627, 56.894066, 56.30625, 58.750313, 56.460938, 58.193436, 58.007812, 57.853127, 57.698437, 57.481873, 57.203438, 55.718437, 58.069687, 57.884064]","[30.040313720703125, 33.46709756290211, 33.12132442698759, 27.976339431036084, 31.3671875, 29.096717834472656, 19.3359375, 19.949353974441003, 21.369791384096498, 26.128123890269883, 30.107072529039886, 30.954687330457897, 14.163338265767912, 25.166984226392664]",5HT,211.1111111111111,"[Tau(val=24.5, steady_state=-50.284157, current_inj=180.0), Tau(val=14.2, steady_state=-56.762787, current_inj=140.0)]",18.18434565108294,1.978596560390255,0.3000000000000001,0.11291589790636211,142.37654320987656,-39.15361785888672,1.3796436786651611,57.61446762084961,26.58887639832624,10.12857142857143
395,JJB230122/t6,5HT230122a,FP,PRE,3,0,,,,,,"[-38.702812, -38.48625, -37.929375, -38.702812, -37.434376]",15.922433774716762,0.22500000000000028,"[Sag(val=0.064851984, steady_state=-88.63418, current_inj=-100.0), Sag(val=0.06805558, steady_state=-86.80394, current_inj=-80.0)]","[7.9, 8.5, 8.3, 10.7, 8.5]","[56.120625, 56.801254, 56.30625, 57.327187, 56.244377]","[29.537170811703334, 29.89539698550576, 29.634869224146794, 18.492640833700857, 28.122188568115234]",5HT,257.03703703703707,"[Tau(val=26.7, steady_state=-44.218567, current_inj=260.0), Tau(val=23.1, steady_state=-48.84012, current_inj=240.0)]",18.18434565108294,1.978596560390255,0.3000000000000001,0.11291589790636211,142.37654320987656,-38.25112533569336,0.4967755675315857,56.5599365234375,27.1364532846344,8.78
404,JJB230122/t20,5HT230122b,FP,PRE,1,0,,,,,,"[-37.805626, -39.75469, -38.23875, -38.548126, -39.166874]",20.741535103828486,0.4,"[Sag(val=0.083445266, steady_state=-92.987885, current_inj=-50.0), Sag(val=0.046713218, steady_state=-90.57123, current_inj=-40.0)]","[4.5, 5.4, 4.8, 4.9, 5.0]","[45.261562, 48.788437, 47.2725, 47.458126, 47.860313]","[34.816586421086235, 25.678124678762337, 33.76607077462333, 31.638750712076824, 29.91269588470459]",5HT,47.49999999999998,"[Tau(val=80.1, steady_state=-52.647057, current_inj=50.0), Tau(val=56.4, steady_state=-59.490643, current_inj=40.0)]",18.18434565108294,1.978596560390255,0.3000000000000001,0.11291589790636211,142.37654320987656,-38.70281219482422,0.6878983378410339,47.32819366455078,31.162445694250664,4.92
